"Date","Price","Open","High","Low","Change %"
"Aug 30, 2019","387.275","387.275","387.275","387.275","0.00%"
"Aug 29, 2019","387.275","387.875","388.125","386.395","-0.10%"
"Aug 28, 2019","387.675","388.475","388.475","386.795","-0.18%"
"Aug 27, 2019","388.375","387.225","388.375","387.125","0.32%"
"Aug 26, 2019","387.130","387.060","388.360","387.060","0.26%"
"Aug 23, 2019","386.125","386.125","386.575","385.195","-0.01%"
"Aug 22, 2019","386.175","386.025","386.225","384.625","0.04%"
"Aug 21, 2019","386.025","386.775","386.775","385.095","-0.21%"
"Aug 20, 2019","386.825","387.125","387.425","385.895","-0.05%"
"Aug 19, 2019","387.015","386.625","387.525","386.085","0.04%"
"Aug 16, 2019","386.875","387.525","387.625","385.945","-0.17%"
"Aug 15, 2019","387.525","387.125","387.525","385.625","0.36%"
"Aug 14, 2019","386.125","387.125","387.125","385.195","-0.38%"
"Aug 13, 2019","387.580","388.510","388.660","387.580","-0.02%"
"Aug 12, 2019","387.675","387.725","387.725","386.795","-0.01%"
"Aug 09, 2019","387.725","388.025","388.025","386.725","-0.04%"
"Aug 08, 2019","387.875","388.025","388.025","386.945","0.06%"
"Aug 07, 2019","387.625","387.625","387.645","386.695","0.07%"
"Aug 06, 2019","387.345","387.125","387.345","386.415","0.17%"
"Aug 05, 2019","386.675","386.625","386.725","385.745","0.12%"
"Aug 02, 2019","386.225","385.625","386.425","385.245","0.29%"
"Aug 01, 2019","385.125","384.425","385.225","384.195","0.18%"
"Jul 31, 2019","384.430","386.060","386.060","384.430","-0.12%"
"Jul 30, 2019","384.875","385.125","385.475","384.555","-0.05%"
"Jul 29, 2019","385.075","385.125","385.575","385.025","0.00%"
"Jul 26, 2019","385.075","385.125","385.125","384.145","0.09%"
"Jul 25, 2019","384.725","384.625","385.945","383.795","0.08%"
"Jul 24, 2019","384.430","385.660","386.060","384.430","-0.12%"
"Jul 23, 2019","384.875","384.125","384.975","383.875","0.21%"
"Jul 22, 2019","384.075","385.125","385.225","383.145","-0.23%"
"Jul 19, 2019","384.975","384.625","385.055","384.095","0.09%"
"Jul 18, 2019","384.625","384.125","384.725","383.625","0.21%"
"Jul 17, 2019","383.825","383.625","384.275","382.895","0.12%"
"Jul 16, 2019","383.375","382.625","383.675","381.825","0.12%"
"Jul 15, 2019","382.925","383.075","383.745","381.945","-0.18%"
"Jul 12, 2019","383.620","383.320","383.720","382.590","0.08%"
"Jul 11, 2019","383.330","385.000","385.460","383.330","-0.50%"
"Jul 10, 2019","385.250","386.250","386.610","384.150","0.12%"
"Jul 09, 2019","384.800","384.900","386.160","383.800","0.08%"
"Jul 08, 2019","384.500","385.100","385.100","383.200","0.07%"
"Jul 05, 2019","384.225","382.565","384.225","382.565","0.32%"
"Jul 04, 2019","382.995","384.165","384.165","382.365","-0.42%"
"Jul 03, 2019","384.625","382.165","384.625","382.165","0.56%"
"Jul 02, 2019","382.475","381.165","382.475","381.125","0.28%"
"Jul 01, 2019","381.425","380.465","381.425","380.125","0.21%"
"Jun 28, 2019","380.625","380.165","380.825","379.975","0.09%"
"Jun 27, 2019","380.300","380.200","381.360","379.560","0.14%"
"Jun 26, 2019","379.770","379.020","379.970","378.220","0.24%"
"Jun 25, 2019","378.850","378.450","379.210","377.810","0.04%"
"Jun 24, 2019","378.700","380.410","380.410","378.360","0.13%"
"Jun 21, 2019","378.200","379.900","380.400","376.610","-0.46%"
"Jun 20, 2019","379.950","382.010","382.360","379.750","-0.51%"
"Jun 19, 2019","381.900","384.000","384.260","381.600","-0.50%"
"Jun 18, 2019","383.825","383.265","384.075","383.265","0.05%"
"Jun 17, 2019","383.625","384.275","384.275","383.265","-0.09%"
